14:30:13.537 [ATL-Logging-Thread] INFO  - Organising filesystem

14:30:13.538 [ATL-Logging-Thread] INFO  - ATLauncher Version: 3.4.38.2 [b6f3b1ac61b9be9f3d4573d01dc291077f7ad130]

14:30:13.544 [ATL-Logging-Thread] INFO  - App Arguments: ["--working-dir","**USERSDIR**","--no-launcher-update","--no-launcher-update","TRUE"]

14:30:13.546 [ATL-Logging-Thread] INFO  - JVM Arguments: []

14:30:13.547 [ATL-Logging-Thread] INFO  - Java Version: Java 21 (21.0.7)

14:30:13.549 [ATL-Logging-Thread] INFO  - Java Path: /nix/store/fnshd55b29s6z88mfl3ilmdqfb7l3dqi-openjdk-21.0.7+6/lib/openjdk

14:30:13.551 [ATL-Logging-Thread] INFO  - 64 Bit Java: true

14:30:13.551 [ATL-Logging-Thread] INFO  - RAM Available: 31304MB

14:30:13.551 [ATL-Logging-Thread] INFO  - Launcher Directory: **USERSDIR**

14:30:13.563 [ATL-Logging-Thread] INFO  - GPU: unknown (unknown) unknown 0MB VRAM

14:30:13.633 [ATL-Logging-Thread] INFO  - CPU: AMD Ryzen 5 7600X3D 6-Core Processor 6 cores/12 threads

14:30:13.634 [ATL-Logging-Thread] INFO  - Operating System: NixOS (25.05 (Warbler) build 6.15.8-zen1)

14:30:13.635 [ATL-Logging-Thread] INFO  - Bitness: 64

14:30:13.636 [ATL-Logging-Thread] INFO  - Uptime: 8452

14:30:13.637 [ATL-Logging-Thread] INFO  - Manufacturer: GNU/Linux

14:30:13.638 [ATL-Logging-Thread] INFO  - Showing splash screen and loading everything

14:30:13.638 [ATL-Logging-Thread] INFO  - Checking for updated files!

14:30:14.428 [ATL-Logging-Thread] INFO  - Launcher finished loading everything

14:30:14.431 [ATL-Logging-Thread] INFO  - Launcher opening

14:30:14.431 [ATL-Logging-Thread] INFO  - Made By Bob*

14:30:14.431 [ATL-Logging-Thread] INFO  - *(Not Actually)

14:30:14.433 [ATL-Logging-Thread] INFO  - Setting up Bottom Bar

14:30:14.464 [ATL-Logging-Thread] INFO  - Finished Setting up Bottom Bar

14:30:14.464 [ATL-Logging-Thread] INFO  - Setting up Tabs

14:30:14.587 [ATL-Logging-Thread] INFO  - Finished Setting up Tabs

14:30:14.592 [ATL-Logging-Thread] INFO  - Showing Launcher

